spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[12 16 26 39 47 50],30,30,13,46,26,26,8,291,63,63,11,341
[12 16 26 39 47 50 56],30,30,13,46,24,24,8,289,65,65,11,343
[12 16 26 39 47 50 56 64],30,30,13,46,22,22,6,287,67,67,13,345
[12 16 26 39 47 50 64],30,30,13,46,24,24,6,289,65,65,13,343
[12 16 26 39 47 56],30,30,13,46,26,26,9,291,63,63,10,341
[12 16 26 39 47 56 64],30,30,13,46,23,23,6,288,66,66,13,344
[12 16 26 39 47 64],30,30,13,46,25,25,6,290,64,64,13,342
[12 16 26 39 50],30,30,13,46,30,26,8,296,59,63,11,336
[12 16 26 39 50 56],30,30,13,46,28,24,8,294,61,65,11,338
[12 16 26 39 50 56 64],30,30,13,46,26,22,6,292,63,67,13,340
[12 16 26 39 50 64],30,30,13,46,28,24,6,294,61,65,13,338
[12 16 26 39 56],30,30,13,46,36,36,14,306,53,53,5,326
[12 16 26 39 56 64],30,30,13,46,28,28,6,298,61,61,13,334
[12 16 26 39 64],30,30,13,46,30,30,6,300,59,59,13,332
[12 16 26 47],30,30,13,46,32,32,9,301,57,57,10,331
[12 16 26 47 50],30,30,13,46,30,30,8,299,59,59,11,333
[12 16 26 47 50 56],30,30,13,46,26,26,8,295,63,63,11,337
[12 16 26 47 50 56 64],30,30,13,46,24,24,6,293,65,65,13,339
[12 16 26 47 50 64],30,30,13,46,28,28,6,297,61,61,13,335
[12 16 26 47 56],30,30,13,46,28,28,9,297,61,61,10,335
[12 16 26 47 56 64],30,30,13,46,25,25,6,294,64,64,13,338
[12 16 26 47 64],30,30,13,46,29,29,6,298,60,60,13,334
[12 16 26 50],30,30,13,46,34,30,8,304,55,59,11,328
[12 16 26 50 56],30,30,13,46,30,26,8,300,59,63,11,332
[12 16 26 50 56 64],30,30,13,46,28,24,6,298,61,65,13,334
[12 16 26 50 64],30,30,13,46,32,28,6,302,57,61,13,330
[12 16 26 56],30,30,13,46,38,38,14,312,51,51,5,320
[12 16 26 56 64],30,30,13,46,30,30,6,304,59,59,13,328
[12 16 26 64],30,30,13,46,34,34,6,308,55,55,13,324
[12 16 30],30,30,13,46,63,63,12,422,26,26,7,210
[12 16 30 33],30,30,13,46,60,60,11,415,29,29,8,217
[12 16 30 33 39],30,30,13,46,38,38,11,371,51,51,8,261
[12 16 30 33 39 47],30,30,13,46,34,34,9,365,55,55,10,267
[12 16 30 33 39 47 50],30,30,13,46,32,32,8,363,57,57,11,269
[12 16 30 33 39 47 50 56],30,30,13,46,30,30,8,361,59,59,11,271
[12 16 30 33 39 47 50 56 64],30,30,13,46,28,28,6,359,61,61,13,273
[12 16 30 33 39 47 50 64],30,30,13,46,30,30,6,361,59,59,13,271
[12 16 30 33 39 47 56],30,30,13,46,32,32,9,363,57,57,10,269
[12 16 30 33 39 47 56 64],30,30,13,46,29,29,6,360,60,60,13,272
[12 16 30 33 39 47 64],30,30,13,46,31,31,6,362,58,58,13,270
[12 16 30 33 39 50],30,30,13,46,33,32,8,365,56,57,11,267
[12 16 30 33 39 50 56],30,30,13,46,31,30,8,363,58,59,11,269
[12 16 30 33 39 50 56 64],30,30,13,46,29,28,6,361,60,61,13,271
[12 16 30 33 39 50 64],30,30,13,46,31,30,6,363,58,59,13,269
[12 16 30 33 39 56],30,30,13,46,36,36,11,369,53,53,8,263
[12 16 30 33 39 56 64],30,30,13,46,31,31,6,364,58,58,13,268
[12 16 30 33 39 64],30,30,13,46,33,33,6,366,56,56,13,266
[12 16 30 33 47],30,30,13,46,56,56,9,409,33,33,10,223
[12 16 30 33 47 50],30,30,13,46,54,54,8,407,35,35,11,225
[12 16 30 33 47 50 56],30,30,13,46,41,41,8,394,48,48,11,238
[12 16 30 33 47 50 56 64],30,30,13,46,39,39,6,392,50,50,13,240
[12 16 30 33 47 50 64],30,30,13,46,52,52,6,405,37,37,13,227
[12 16 30 33 47 56],30,30,13,46,43,43,9,396,46,46,10,236
[12 16 30 33 47 56 64],30,30,13,46,40,40,6,393,49,49,13,239
[12 16 30 33 47 64],30,30,13,46,53,53,6,406,36,36,13,226
[12 16 30 33 50],30,30,13,46,55,54,8,409,34,35,11,223
[12 16 30 33 50 56],30,30,13,46,42,41,8,396,47,48,11,236
[12 16 30 33 50 56 64],30,30,13,46,40,39,6,394,49,50,13,238
[12 16 30 33 50 64],30,30,13,46,53,52,6,407,36,37,13,225
[12 16 30 33 56],30,30,13,46,47,47,11,402,42,42,8,230
[12 16 30 33 56 64],30,30,13,46,42,42,6,397,47,47,13,235
[12 16 30 33 64],30,30,13,46,55,55,6,410,34,34,13,222
[12 16 30 39],30,30,13,46,41,41,12,378,48,48,7,254
[12 16 30 39 47],30,30,13,46,35,35,9,369,54,54,10,263
[12 16 30 39 47 50],30,30,13,46,33,33,8,367,56,56,11,265
[12 16 30 39 47 50 56],30,30,13,46,31,31,8,365,58,58,11,267
[12 16 30 39 47 50 56 64],30,30,13,46,29,29,6,363,60,60,13,269
[12 16 30 39 47 50 64],30,30,13,46,31,31,6,365,58,58,13,267
[12 16 30 39 47 56],30,30,13,46,33,33,9,367,56,56,10,265
[12 16 30 39 47 56 64],30,30,13,46,30,30,6,364,59,59,13,268
[12 16 30 39 47 64],30,30,13,46,32,32,6,366,57,57,13,266
[12 16 30 39 50],30,30,13,46,35,33,8,370,54,56,11,262
[12 16 30 39 50 56],30,30,13,46,33,31,8,368,56,58,11,264
[12 16 30 39 50 56 64],30,30,13,46,31,29,6,366,58,60,13,266
[12 16 30 39 50 64],30,30,13,46,33,31,6,368,56,58,13,264
[12 16 30 39 56],30,30,13,46,39,39,12,376,50,50,7,256
[12 16 30 39 56 64],30,30,13,46,33,33,6,370,56,56,13,262
[12 16 30 39 64],30,30,13,46,35,35,6,372,54,54,13,260
[12 16 30 47],30,30,13,46,57,57,9,413,32,32,10,219
[12 16 30 47 50],30,30,13,46,55,55,8,411,34,34,11,221
[12 16 30 47 50 56],30,30,13,46,42,42,8,398,47,47,11,234
[12 16 30 47 50 56 64],30,30,13,46,40,40,6,396,49,49,13,236
[12 16 30 47 50 64],30,30,13,46,53,53,6,409,36,36,13,223
[12 16 30 47 56],30,30,13,46,44,44,9,400,45,45,10,232
[12 16 30 47 56 64],30,30,13,46,41,41,6,397,48,48,13,235
[12 16 30 47 64],30,30,13,46,54,54,6,410,35,35,13,222
[12 16 30 50],30,30,13,46,57,55,8,414,32,34,11,218
[12 16 30 50 56],30,30,13,46,44,42,8,401,45,47,11,231
[12 16 30 50 56 64],30,30,13,46,42,40,6,399,47,49,13,233
[12 16 30 50 64],30,30,13,46,55,53,6,412,34,36,13,220
[12 16 30 56],30,30,13,46,50,50,12,409,39,39,7,223
[12 16 30 56 64],30,30,13,46,44,44,6,403,45,45,13,229
[12 16 30 64],30,30,13,46,57,57,6,416,32,32,13,216
[12 16 33],30,30,13,46,61,60,11,421,28,29,8,211
[12 16 33 39],30,30,13,46,39,38,11,377,50,51,8,255
[12 16 33 39 47],30,30,13,46,35,34,9,371,54,55,10,261
[12 16 33 39 47 50],30,30,13,46,33,32,8,369,56,57,11,263
[12 16 33 39 47 50 56],30,30,13,46,31,30,8,367,58,59,11,265
[12 16 33 39 47 50 56 64],30,30,13,46,29,28,6,365,60,61,13,267
[12 16 33 39 47 50 64],30,30,13,46,31,30,6,367,58,59,13,265
[12 16 33 39 47 56],30,30,13,46,33,32,9,369,56,57,10,263
[12 16 33 39 47 56 64],30,30,13,46,30,29,6,366,59,60,13,266
[12 16 33 39 47 64],30,30,13,46,32,31,6,368,57,58,13,264
[12 16 33 39 50],30,30,13,46,34,32,8,371,55,57,11,261
[12 16 33 39 50 56],30,30,13,46,32,30,8,369,57,59,11,263
[12 16 33 39 50 56 64],30,30,13,46,30,28,6,367,59,61,13,265
[12 16 33 39 50 64],30,30,13,46,32,30,6,369,57,59,13,263
[12 16 33 39 56],30,30,13,46,37,36,11,375,52,53,8,257
[12 16 33 39 56 64],30,30,13,46,32,31,6,370,57,58,13,262
[12 16 33 39 64],30,30,13,46,34,33,6,372,55,56,13,260
[12 16 33 47],30,30,13,46,57,56,9,415,32,33,10,217
[12 16 33 47 50],30,30,13,46,55,54,8,413,34,35,11,219
[12 16 33 47 50 56],30,30,13,46,42,41,8,400,47,48,11,232
[12 16 33 47 50 56 64],30,30,13,46,40,39,6,398,49,50,13,234
[12 16 33 47 50 64],30,30,13,46,53,52,6,411,36,37,13,221
[12 16 33 47 56],30,30,13,46,44,43,9,402,45,46,10,230
[12 16 33 47 56 64],30,30,13,46,41,40,6,399,48,49,13,233
[12 16 33 47 64],30,30,13,46,54,53,6,412,35,36,13,220
[12 16 33 50],30,30,13,46,56,54,8,415,33,35,11,217
[12 16 33 50 56],30,30,13,46,43,41,8,402,46,48,11,230
[12 16 33 50 56 64],30,30,13,46,41,39,6,400,48,50,13,232
[12 16 33 50 64],30,30,13,46,54,52,6,413,35,37,13,219
[12 16 33 56],30,30,13,46,48,47,11,408,41,42,8,224
[12 16 33 56 64],30,30,13,46,43,42,6,403,46,47,13,229
[12 16 33 64],30,30,13,46,56,55,6,416,33,34,13,216
[12 16 39],30,30,13,46,47,47,14,398,42,42,5,234
[12 16 39 47],30,30,13,46,37,37,9,383,52,52,10,249
[12 16 39 47 50],30,30,13,46,35,35,8,381,54,54,11,251
[12 16 39 47 50 56],30,30,13,46,33,33,8,379,56,56,11,253
[12 16 39 47 50 56 64],30,30,13,46,31,31,6,377,58,58,13,255
[12 16 39 47 50 64],30,30,13,46,33,33,6,379,56,56,13,253
[12 16 39 47 56],30,30,13,46,35,35,9,381,54,54,10,251
[12 16 39 47 56 64],30,30,13,46,32,32,6,378,57,57,13,254
[12 16 39 47 64],30,30,13,46,34,34,6,380,55,55,13,252
[12 16 39 50],30,30,13,46,39,35,8,386,50,54,11,246
[12 16 39 50 56],30,30,13,46,37,33,8,384,52,56,11,248
[12 16 39 50 56 64],30,30,13,46,35,31,6,382,54,58,13,250
[12 16 39 50 64],30,30,13,46,37,33,6,384,52,56,13,248
[12 16 39 56],30,30,13,46,45,45,14,396,44,44,5,236
[12 16 39 56 64],30,30,13,46,37,37,6,388,52,52,13,244
[12 16 39 64],30,30,13,46,39,39,6,390,50,50,13,242
[12 16 47],30,30,13,46,59,59,9,427,30,30,10,205
[12 16 47 50],30,30,13,46,57,57,8,425,32,32,11,207
[12 16 47 50 56],30,30,13,46,44,44,8,412,45,45,11,220
[12 16 47 50 56 64],30,30,13,46,42,42,6,410,47,47,13,222
[12 16 47 50 64],30,30,13,46,55,55,6,423,34,34,13,209
[12 16 47 56],30,30,13,46,46,46,9,414,43,43,10,218
[12 16 47 56 64],30,30,13,46,43,43,6,411,46,46,13,221
[12 16 47 64],30,30,13,46,56,56,6,424,33,33,13,208
[12 16 50],30,30,13,46,61,57,8,430,28,32,11,202
[12 16 50 56],30,30,13,46,48,44,8,417,41,45,11,215
[12 16 50 56 64],30,30,13,46,46,42,6,415,43,47,13,217
[12 16 50 64],30,30,13,46,59,55,6,428,30,34,13,204
[12 16 56],30,30,13,46,56,56,14,429,33,33,5,203
[12 16 56 64],30,30,13,46,48,48,6,421,41,41,13,211
[12 16 64],30,30,13,46,61,61,6,434,28,28,13,198
[12 26],30,30,13,46,46,46,15,354,43,43,4,278
[12 26 30],30,30,13,46,37,37,12,324,52,52,7,308
[12 26 30 33],30,30,13,46,34,34,11,317,55,55,8,315
[12 26 30 33 39],30,30,13,46,30,30,11,309,59,59,8,323
[12 26 30 33 39 47],30,30,13,46,26,26,9,303,63,63,10,329
[12 26 30 33 39 47 50],30,30,13,46,24,24,8,301,65,65,11,331
[12 26 30 33 39 47 50 56],30,30,13,46,22,22,8,299,67,67,11,333
[12 26 30 33 39 47 50 56 64],30,30,13,46,20,20,6,297,69,69,13,335
[12 26 30 33 39 47 50 64],30,30,13,46,22,22,6,299,67,67,13,333
[12 26 30 33 39 47 56],30,30,13,46,24,24,9,301,65,65,10,331
[12 26 30 33 39 47 56 64],30,30,13,46,21,21,6,298,68,68,13,334
[12 26 30 33 39 47 64],30,30,13,46,23,23,6,300,66,66,13,332
[12 26 30 33 39 50],30,30,13,46,25,24,8,303,64,65,11,329
[12 26 30 33 39 50 56],30,30,13,46,23,22,8,301,66,67,11,331
[12 26 30 33 39 50 56 64],30,30,13,46,21,20,6,299,68,69,13,333
[12 26 30 33 39 50 64],30,30,13,46,23,22,6,301,66,67,13,331
[12 26 30 33 39 56],30,30,13,46,28,28,11,307,61,61,8,325
[12 26 30 33 39 56 64],30,30,13,46,23,23,6,302,66,66,13,330
[12 26 30 33 39 64],30,30,13,46,25,25,6,304,64,64,13,328
[12 26 30 33 47],30,30,13,46,30,30,9,311,59,59,10,321
[12 26 30 33 47 50],30,30,13,46,28,28,8,309,61,61,11,323
[12 26 30 33 47 50 56],30,30,13,46,24,24,8,305,65,65,11,327
[12 26 30 33 47 50 56 64],30,30,13,46,22,22,6,303,67,67,13,329
[12 26 30 33 47 50 64],30,30,13,46,26,26,6,307,63,63,13,325
[12 26 30 33 47 56],30,30,13,46,26,26,9,307,63,63,10,325
[12 26 30 33 47 56 64],30,30,13,46,23,23,6,304,66,66,13,328
[12 26 30 33 47 64],30,30,13,46,27,27,6,308,62,62,13,324
[12 26 30 33 50],30,30,13,46,29,28,8,311,60,61,11,321
[12 26 30 33 50 56],30,30,13,46,25,24,8,307,64,65,11,325
[12 26 30 33 50 56 64],30,30,13,46,23,22,6,305,66,67,13,327
[12 26 30 33 50 64],30,30,13,46,27,26,6,309,62,63,13,323
[12 26 30 33 56],30,30,13,46,30,30,11,313,59,59,8,319
[12 26 30 33 56 64],30,30,13,46,25,25,6,308,64,64,13,324
[12 26 30 33 64],30,30,13,46,29,29,6,312,60,60,13,320
[12 26 30 39],30,30,13,46,33,33,12,316,56,56,7,316
[12 26 30 39 47],30,30,13,46,27,27,9,307,62,62,10,325
[12 26 30 39 47 50],30,30,13,46,25,25,8,305,64,64,11,327
[12 26 30 39 47 50 56],30,30,13,46,23,23,8,303,66,66,11,329
[12 26 30 39 47 50 56 64],30,30,13,46,21,21,6,301,68,68,13,331
[12 26 30 39 47 50 64],30,30,13,46,23,23,6,303,66,66,13,329
[12 26 30 39 47 56],30,30,13,46,25,25,9,305,64,64,10,327
[12 26 30 39 47 56 64],30,30,13,46,22,22,6,302,67,67,13,330
[12 26 30 39 47 64],30,30,13,46,24,24,6,304,65,65,13,328
[12 26 30 39 50],30,30,13,46,27,25,8,308,62,64,11,324
[12 26 30 39 50 56],30,30,13,46,25,23,8,306,64,66,11,326
[12 26 30 39 50 56 64],30,30,13,46,23,21,6,304,66,68,13,328
[12 26 30 39 50 64],30,30,13,46,25,23,6,306,64,66,13,326
[12 26 30 39 56],30,30,13,46,31,31,12,314,58,58,7,318
[12 26 30 39 56 64],30,30,13,46,25,25,6,308,64,64,13,324
[12 26 30 39 64],30,30,13,46,27,27,6,310,62,62,13,322
[12 26 30 47],30,30,13,46,31,31,9,315,58,58,10,317
[12 26 30 47 50],30,30,13,46,29,29,8,313,60,60,11,319
[12 26 30 47 50 56],30,30,13,46,25,25,8,309,64,64,11,323
[12 26 30 47 50 56 64],30,30,13,46,23,23,6,307,66,66,13,325
[12 26 30 47 50 64],30,30,13,46,27,27,6,311,62,62,13,321
[12 26 30 47 56],30,30,13,46,27,27,9,311,62,62,10,321
[12 26 30 47 56 64],30,30,13,46,24,24,6,308,65,65,13,324
[12 26 30 47 64],30,30,13,46,28,28,6,312,61,61,13,320
[12 26 30 50],30,30,13,46,31,29,8,316,58,60,11,316
[12 26 30 50 56],30,30,13,46,27,25,8,312,62,64,11,320
[12 26 30 50 56 64],30,30,13,46,25,23,6,310,64,66,13,322
[12 26 30 50 64],30,30,13,46,29,27,6,314,60,62,13,318
[12 26 30 56],30,30,13,46,33,33,12,320,56,56,7,312
[12 26 30 56 64],30,30,13,46,27,27,6,314,62,62,13,318
[12 26 30 64],30,30,13,46,31,31,6,318,58,58,13,314
[12 26 33],30,30,13,46,36,34,11,326,53,55,8,306
[12 26 33 39],30,30,13,46,32,30,11,318,57,59,8,314
[12 26 33 39 47],30,30,13,46,28,26,9,312,61,63,10,320
[12 26 33 39 47 50],30,30,13,46,26,24,8,310,63,65,11,322
[12 26 33 39 47 50 56],30,30,13,46,24,22,8,308,65,67,11,324
[12 26 33 39 47 50 56 64],30,30,13,46,22,20,6,306,67,69,13,326
[12 26 33 39 47 50 64],30,30,13,46,24,22,6,308,65,67,13,324
[12 26 33 39 47 56],30,30,13,46,26,24,9,310,63,65,10,322
[12 26 33 39 47 56 64],30,30,13,46,23,21,6,307,66,68,13,325
[12 26 33 39 47 64],30,30,13,46,25,23,6,309,64,66,13,323
[12 26 33 39 50],30,30,13,46,27,24,8,312,62,65,11,320
[12 26 33 39 50 56],30,30,13,46,25,22,8,310,64,67,11,322
[12 26 33 39 50 56 64],30,30,13,46,23,20,6,308,66,69,13,324
[12 26 33 39 50 64],30,30,13,46,25,22,6,310,64,67,13,322
[12 26 33 39 56],30,30,13,46,30,28,11,316,59,61,8,316
[12 26 33 39 56 64],30,30,13,46,25,23,6,311,64,66,13,321
[12 26 33 39 64],30,30,13,46,27,25,6,313,62,64,13,319
[12 26 33 47],30,30,13,46,32,30,9,320,57,59,10,312
[12 26 33 47 50],30,30,13,46,30,28,8,318,59,61,11,314
[12 26 33 47 50 56],30,30,13,46,26,24,8,314,63,65,11,318
[12 26 33 47 50 56 64],30,30,13,46,24,22,6,312,65,67,13,320
[12 26 33 47 50 64],30,30,13,46,28,26,6,316,61,63,13,316
[12 26 33 47 56],30,30,13,46,28,26,9,316,61,63,10,316
[12 26 33 47 56 64],30,30,13,46,25,23,6,313,64,66,13,319
[12 26 33 47 64],30,30,13,46,29,27,6,317,60,62,13,315
[12 26 33 50],30,30,13,46,31,28,8,320,58,61,11,312
[12 26 33 50 56],30,30,13,46,27,24,8,316,62,65,11,316
[12 26 33 50 56 64],30,30,13,46,25,22,6,314,64,67,13,318
[12 26 33 50 64],30,30,13,46,29,26,6,318,60,63,13,314
[12 26 33 56],30,30,13,46,32,30,11,322,57,59,8,310
[12 26 33 56 64],30,30,13,46,27,25,6,317,62,64,13,315
[12 26 33 64],30,30,13,46,31,29,6,321,58,60,13,311
[12 26 39],30,30,13,46,42,42,15,346,47,47,4,286
[12 26 39 47],30,30,13,46,30,30,9,328,59,59,10,304
[12 26 39 47 50],30,30,13,46,28,28,8,326,61,61,11,306
[12 26 39 47 50 56],30,30,13,46,26,26,8,324,63,63,11,308
[12 26 39 47 50 56 64],30,30,13,46,24,24,6,322,65,65,13,310
[12 26 39 47 50 64],30,30,13,46,26,26,6,324,63,63,13,308
[12 26 39 47 56],30,30,13,46,28,28,9,326,61,61,10,306
[12 26 39 47 56 64],30,30,13,46,25,25,6,323,64,64,13,309
[12 26 39 47 64],30,30,13,46,27,27,6,325,62,62,13,307
[12 26 39 50],30,30,13,46,33,28,8,332,56,61,11,300
[12 26 39 50 56],30,30,13,46,31,26,8,330,58,63,11,302
[12 26 39 50 56 64],30,30,13,46,29,24,6,328,60,65,13,304
[12 26 39 50 64],30,30,13,46,31,26,6,330,58,63,13,302
[12 26 39 56],30,30,13,46,40,40,15,344,49,49,4,288
[12 26 39 56 64],30,30,13,46,31,31,6,335,58,58,13,297
[12 26 39 64],30,30,13,46,33,33,6,337,56,56,13,295
[12 26 47],30,30,13,46,34,34,9,336,55,55,10,296
[12 26 47 50],30,30,13,46,32,32,8,334,57,57,11,298
[12 26 47 50 56],30,30,13,46,28,28,8,330,61,61,11,302
[12 26 47 50 56 64],30,30,13,46,26,26,6,328,63,63,13,304
[12 26 47 50 64],30,30,13,46,30,30,6,332,59,59,13,300
[12 26 47 56],30,30,13,46,30,30,9,332,59,59,10,300
[12 26 47 56 64],30,30,13,46,27,27,6,329,62,62,13,303
[12 26 47 64],30,30,13,46,31,31,6,333,58,58,13,299
[12 26 50],30,30,13,46,37,32,8,340,52,57,11,292
[12 26 50 56],30,30,13,46,33,28,8,336,56,61,11,296
[12 26 50 56 64],30,30,13,46,31,26,6,334,58,63,13,298
[12 26 50 64],30,30,13,46,35,30,6,338,54,59,13,294
[12 26 56],30,30,13,46,42,42,15,350,47,47,4,282
[12 26 56 64],30,30,13,46,33,33,6,341,56,56,13,291
[12 26 64],30,30,13,46,37,37,6,345,52,52,13,287
[12 30],30,30,13,46,64,64,12,450,25,25,7,182
[12 30 33],30,30,13,46,61,61,11,443,28,28,8,189
[12 30 33 39],30,30,13,46,39,39,11,399,50,50,8,233
[12 30 33 39 47],30,30,13,46,35,35,9,393,54,54,10,239
[12 30 33 39 47 50],30,30,13,46,33,33,8,391,56,56,11,241
[12 30 33 39 47 50 56],30,30,13,46,31,31,8,389,58,58,11,243
[12 30 33 39 47 50 56 64],30,30,13,46,29,29,6,387,60,60,13,245
[12 30 33 39 47 50 64],30,30,13,46,31,31,6,389,58,58,13,243
[12 30 33 39 47 56],30,30,13,46,33,33,9,391,56,56,10,241
[12 30 33 39 47 56 64],30,30,13,46,30,30,6,388,59,59,13,244
[12 30 33 39 47 64],30,30,13,46,32,32,6,390,57,57,13,242
[12 30 33 39 50],30,30,13,46,34,33,8,393,55,56,11,239
[12 30 33 39 50 56],30,30,13,46,32,31,8,391,57,58,11,241
[12 30 33 39 50 56 64],30,30,13,46,30,29,6,389,59,60,13,243
[12 30 33 39 50 64],30,30,13,46,32,31,6,391,57,58,13,241
[12 30 33 39 56],30,30,13,46,37,37,11,397,52,52,8,235
[12 30 33 39 56 64],30,30,13,46,32,32,6,392,57,57,13,240
[12 30 33 39 64],30,30,13,46,34,34,6,394,55,55,13,238
[12 30 33 47],30,30,13,46,57,57,9,437,32,32,10,195
[12 30 33 47 50],30,30,13,46,55,55,8,435,34,34,11,197
[12 30 33 47 50 56],30,30,13,46,42,42,8,422,47,47,11,210
[12 30 33 47 50 56 64],30,30,13,46,40,40,6,420,49,49,13,212
[12 30 33 47 50 64],30,30,13,46,53,53,6,433,36,36,13,199
[12 30 33 47 56],30,30,13,46,44,44,9,424,45,45,10,208
[12 30 33 47 56 64],30,30,13,46,41,41,6,421,48,48,13,211
[12 30 33 47 64],30,30,13,46,54,54,6,434,35,35,13,198
[12 30 33 50],30,30,13,46,56,55,8,437,33,34,11,195
[12 30 33 50 56],30,30,13,46,43,42,8,424,46,47,11,208
[12 30 33 50 56 64],30,30,13,46,41,40,6,422,48,49,13,210
[12 30 33 50 64],30,30,13,46,54,53,6,435,35,36,13,197
[12 30 33 56],30,30,13,46,48,48,11,430,41,41,8,202
[12 30 33 56 64],30,30,13,46,43,43,6,425,46,46,13,207
[12 30 33 64],30,30,13,46,56,56,6,438,33,33,13,194
[12 30 39],30,30,13,46,42,42,12,406,47,47,7,226
[12 30 39 47],30,30,13,46,36,36,9,397,53,53,10,235
[12 30 39 47 50],30,30,13,46,34,34,8,395,55,55,11,237
[12 30 39 47 50 56],30,30,13,46,32,32,8,393,57,57,11,239
[12 30 39 47 50 56 64],30,30,13,46,30,30,6,391,59,59,13,241
[12 30 39 47 50 64],30,30,13,46,32,32,6,393,57,57,13,239
[12 30 39 47 56],30,30,13,46,34,34,9,395,55,55,10,237
[12 30 39 47 56 64],30,30,13,46,31,31,6,392,58,58,13,240
[12 30 39 47 64],30,30,13,46,33,33,6,394,56,56,13,238
[12 30 39 50],30,30,13,46,36,34,8,398,53,55,11,234
[12 30 39 50 56],30,30,13,46,34,32,8,396,55,57,11,236
[12 30 39 50 56 64],30,30,13,46,32,30,6,394,57,59,13,238
[12 30 39 50 64],30,30,13,46,34,32,6,396,55,57,13,236
[12 30 39 56],30,30,13,46,40,40,12,404,49,49,7,228
[12 30 39 56 64],30,30,13,46,34,34,6,398,55,55,13,234
[12 30 39 64],30,30,13,46,36,36,6,400,53,53,13,232
[12 30 47],30,30,13,46,58,58,9,441,31,31,10,191
[12 30 47 50],30,30,13,46,56,56,8,439,33,33,11,193
[12 30 47 50 56],30,30,13,46,43,43,8,426,46,46,11,206
[12 30 47 50 56 64],30,30,13,46,41,41,6,424,48,48,13,208
[12 30 47 50 64],30,30,13,46,54,54,6,437,35,35,13,195
[12 30 47 56],30,30,13,46,45,45,9,428,44,44,10,204
[12 30 47 56 64],30,30,13,46,42,42,6,425,47,47,13,207
[12 30 47 64],30,30,13,46,55,55,6,438,34,34,13,194
[12 30 50],30,30,13,46,58,56,8,442,31,33,11,190
[12 30 50 56],30,30,13,46,45,43,8,429,44,46,11,203
[12 30 50 56 64],30,30,13,46,43,41,6,427,46,48,13,205
[12 30 50 64],30,30,13,46,56,54,6,440,33,35,13,192
[12 30 56],30,30,13,46,51,51,12,437,38,38,7,195
[12 30 56 64],30,30,13,46,45,45,6,431,44,44,13,201
[12 30 64],30,30,13,46,58,58,6,444,31,31,13,188
[12 33],30,30,13,46,63,61,11,452,26,28,8,180
[12 33 39],30,30,13,46,41,39,11,408,48,50,8,224
[12 33 39 47],30,30,13,46,37,35,9,402,52,54,10,230
[12 33 39 47 50],30,30,13,46,35,33,8,400,54,56,11,232
[12 33 39 47 50 56],30,30,13,46,33,31,8,398,56,58,11,234
[12 33 39 47 50 56 64],30,30,13,46,31,29,6,396,58,60,13,236
[12 33 39 47 50 64],30,30,13,46,33,31,6,398,56,58,13,234
[12 33 39 47 56],30,30,13,46,35,33,9,400,54,56,10,232
[12 33 39 47 56 64],30,30,13,46,32,30,6,397,57,59,13,235
[12 33 39 47 64],30,30,13,46,34,32,6,399,55,57,13,233
[12 33 39 50],30,30,13,46,36,33,8,402,53,56,11,230
[12 33 39 50 56],30,30,13,46,34,31,8,400,55,58,11,232
[12 33 39 50 56 64],30,30,13,46,32,29,6,398,57,60,13,234
[12 33 39 50 64],30,30,13,46,34,31,6,400,55,58,13,232
[12 33 39 56],30,30,13,46,39,37,11,406,50,52,8,226
[12 33 39 56 64],30,30,13,46,34,32,6,401,55,57,13,231
[12 33 39 64],30,30,13,46,36,34,6,403,53,55,13,229
[12 33 47],30,30,13,46,59,57,9,446,30,32,10,186
[12 33 47 50],30,30,13,46,57,55,8,444,32,34,11,188
[12 33 47 50 56],30,30,13,46,44,42,8,431,45,47,11,201
[12 33 47 50 56 64],30,30,13,46,42,40,6,429,47,49,13,203
[12 33 47 50 64],30,30,13,46,55,53,6,442,34,36,13,190
[12 33 47 56],30,30,13,46,46,44,9,433,43,45,10,199
[12 33 47 56 64],30,30,13,46,43,41,6,430,46,48,13,202
[12 33 47 64],30,30,13,46,56,54,6,443,33,35,13,189
[12 33 50],30,30,13,46,58,55,8,446,31,34,11,186
[12 33 50 56],30,30,13,46,45,42,8,433,44,47,11,199
[12 33 50 56 64],30,30,13,46,43,40,6,431,46,49,13,201
[12 33 50 64],30,30,13,46,56,53,6,444,33,36,13,188
[12 33 56],30,30,13,46,50,48,11,439,39,41,8,193
[12 33 56 64],30,30,13,46,45,43,6,434,44,46,13,198
[12 33 64],30,30,13,46,58,56,6,447,31,33,13,185
[12 39],30,30,13,46,51,51,15,436,38,38,4,196
[12 39 47],30,30,13,46,39,39,9,418,50,50,10,214
[12 39 47 50],30,30,13,46,37,37,8,416,52,52,11,216
[12 39 47 50 56],30,30,13,46,35,35,8,414,54,54,11,218
[12 39 47 50 56 64],30,30,13,46,33,33,6,412,56,56,13,220
[12 39 47 50 64],30,30,13,46,35,35,6,414,54,54,13,218
[12 39 47 56],30,30,13,46,37,37,9,416,52,52,10,216
[12 39 47 56 64],30,30,13,46,34,34,6,413,55,55,13,219
[12 39 47 64],30,30,13,46,36,36,6,415,53,53,13,217
[12 39 50],30,30,13,46,42,37,8,422,47,52,11,210
