spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[3 12 16 26 30 50 56 64],30,30,13,46,20,18,2,130,69,71,17,502
[3 12 16 26 30 50 64],30,30,13,46,24,22,2,134,65,67,17,498
[3 12 16 26 30 56],30,30,13,46,28,28,8,140,61,61,11,492
[3 12 16 26 30 56 64],30,30,13,46,22,22,2,134,67,67,17,498
[3 12 16 26 30 64],30,30,13,46,26,26,2,138,63,63,17,494
[3 12 16 26 33],30,30,13,46,30,29,7,143,59,60,12,489
[3 12 16 26 33 39],30,30,13,46,26,25,7,135,63,64,12,497
[3 12 16 26 33 39 47],30,30,13,46,22,21,5,129,67,68,14,503
[3 12 16 26 33 39 47 50],30,30,13,46,20,19,4,127,69,70,15,505
[3 12 16 26 33 39 47 50 56],30,30,13,46,18,17,4,125,71,72,15,507
[3 12 16 26 33 39 47 50 56 64],30,30,13,46,16,15,2,123,73,74,17,509
[3 12 16 26 33 39 47 50 64],30,30,13,46,18,17,2,125,71,72,17,507
[3 12 16 26 33 39 47 56],30,30,13,46,20,19,5,127,69,70,14,505
[3 12 16 26 33 39 47 56 64],30,30,13,46,17,16,2,124,72,73,17,508
[3 12 16 26 33 39 47 64],30,30,13,46,19,18,2,126,70,71,17,506
[3 12 16 26 33 39 50],30,30,13,46,21,19,4,129,68,70,15,503
[3 12 16 26 33 39 50 56],30,30,13,46,19,17,4,127,70,72,15,505
[3 12 16 26 33 39 50 56 64],30,30,13,46,17,15,2,125,72,74,17,507
[3 12 16 26 33 39 50 64],30,30,13,46,19,17,2,127,70,72,17,505
[3 12 16 26 33 39 56],30,30,13,46,24,23,7,133,65,66,12,499
[3 12 16 26 33 39 56 64],30,30,13,46,19,18,2,128,70,71,17,504
[3 12 16 26 33 39 64],30,30,13,46,21,20,2,130,68,69,17,502
[3 12 16 26 33 47],30,30,13,46,26,25,5,137,63,64,14,495
[3 12 16 26 33 47 50],30,30,13,46,24,23,4,135,65,66,15,497
[3 12 16 26 33 47 50 56],30,30,13,46,20,19,4,131,69,70,15,501
[3 12 16 26 33 47 50 56 64],30,30,13,46,18,17,2,129,71,72,17,503
[3 12 16 26 33 47 50 64],30,30,13,46,22,21,2,133,67,68,17,499
